,id,count,month,road,road_type,year,speed_limit,temp,rain,snow,month_year
0,SAMSON@2019@6,7,6,SAMSON,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
1,CHOMEDEY@2019@6,11,6,CHOMEDEY,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
2,MAURICE-GAUVIN@2019@6,2,6,MAURICE-GAUVIN,RUE,2019,50.0,18.22,2.693,0.0,6_2019
3,RENE-LAENNEC@2019@6,3,6,RENE-LAENNEC,VOIE,2019,0.0,18.22,2.693,0.0,6_2019
4,CARTIER OUEST@2019@6,10,6,CARTIER OUEST,RUE,2019,0.0,18.22,2.693,0.0,6_2019
5,DES LAURENTIDES@2019@6,11,6,DES LAURENTIDES,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
6,DU SOUVENIR@2019@6,1,6,DU SOUVENIR,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
7,DE LA RENAISSANCE@2019@6,2,6,DE LA RENAISSANCE,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
8,DU PARC@2019@6,2,6,DU PARC,AVENUE,2019,40.0,18.22,2.693,0.0,6_2019
9,64E@2019@6,3,6,64E,AVENUE,2019,40.0,18.22,2.693,0.0,6_2019
10,DES LAURENTIDES A-15@2019@6,11,6,DES LAURENTIDES A-15,AUTORO,2019,0.0,18.22,2.693,0.0,6_2019
11,DE CHAUMONT@2019@6,2,6,DE CHAUMONT,RUE,2019,40.0,18.22,2.693,0.0,6_2019
12,CHOMEDEY A-13@2019@6,12,6,CHOMEDEY A-13,VOIE,2019,0.0,18.22,2.693,0.0,6_2019
13,75E@2019@6,2,6,75E,AVENUE,2019,40.0,18.22,2.693,0.0,6_2019
14,MCNAMARA@2019@6,2,6,MCNAMARA,RUE,2019,40.0,18.22,2.693,0.0,6_2019
15,NOTRE-DAME@2019@6,10,6,NOTRE-DAME,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
16,DAGENAIS OUEST@2019@6,13,6,DAGENAIS OUEST,BOULEV,2019,60.0,18.22,2.693,0.0,6_2019
17,DE GENEVE@2019@6,2,6,DE GENEVE,RUE,2019,0.0,18.22,2.693,0.0,6_2019
18,MONTGOLFIER@2019@6,1,6,MONTGOLFIER,RUE,2019,40.0,18.22,2.693,0.0,6_2019
19,CURE-LABELLE@2019@6,25,6,CURE-LABELLE,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
20,PAPINEAU A-19@2019@6,4,6,PAPINEAU A-19,AUTORO,2019,0.0,18.22,2.693,0.0,6_2019
21,MARCEL-VILLENEUVE@2019@6,2,6,MARCEL-VILLENEUVE,AVENUE,2019,70.0,18.22,2.693,0.0,6_2019
22,SAINTE-ROSE@2019@6,4,6,SAINTE-ROSE,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
23,SAINT-FRANCOIS@2019@6,1,6,SAINT-FRANCOIS,MONTEE,2019,0.0,18.22,2.693,0.0,6_2019
24,INDUSTRIEL@2019@6,3,6,INDUSTRIEL,BOULEV,2019,60.0,18.22,2.693,0.0,6_2019
25,DE ROTTERDAM@2019@6,1,6,DE ROTTERDAM,RUE,2019,40.0,18.22,2.693,0.0,6_2019
26,PAPINEAU@2019@6,2,6,PAPINEAU,AVENUE,2019,0.0,18.22,2.693,0.0,6_2019
27,DES MILLE-ILES@2019@6,3,6,DES MILLE-ILES,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
28,LAVAL OUEST A-440@2019@6,5,6,LAVAL OUEST A-440,AUTORO,2019,0.0,18.22,2.693,0.0,6_2019
29,LAVAL EST A-440@2019@6,4,6,LAVAL EST A-440,AUTORO,2019,0.0,18.22,2.693,0.0,6_2019
30,FRANCIS-HUGHES@2019@6,1,6,FRANCIS-HUGHES,AVENUE,2019,50.0,18.22,2.693,0.0,6_2019
31,DANIEL-JOHNSON@2019@6,2,6,DANIEL-JOHNSON,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
32,TOURANGEAU OUEST@2019@6,2,6,TOURANGEAU OUEST,RUE,2019,40.0,18.22,2.693,0.0,6_2019
33,D ANVERS@2019@6,2,6,D ANVERS,RUE,2019,0.0,18.22,2.693,0.0,6_2019
34,DES PERRON@2019@6,3,6,DES PERRON,AVENUE,2019,50.0,18.22,2.693,0.0,6_2019
35,JOLICOEUR@2019@6,2,6,JOLICOEUR,BOULEV,2019,40.0,18.22,2.693,0.0,6_2019
36,SAINT-ELZEAR OUEST@2019@6,1,6,SAINT-ELZEAR OUEST,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
37,SAINT-ELZEAR EST@2019@6,2,6,SAINT-ELZEAR EST,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
38,BERGMAN@2019@6,3,6,BERGMAN,RUE,2019,50.0,18.22,2.693,0.0,6_2019
39,SAINT-SAENS EST@2019@6,1,6,SAINT-SAENS EST,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
40,LE CORBUSIER@2019@6,9,6,LE CORBUSIER,BOULEV,2019,60.0,18.22,2.693,0.0,6_2019
41,DE LA CONCORDE OUEST@2019@6,2,6,DE LA CONCORDE OUEST,BOULEV,2019,60.0,18.22,2.693,0.0,6_2019
42,DE L EQUERRE@2019@6,1,6,DE L EQUERRE,CHEMIN,2019,0.0,18.22,2.693,0.0,6_2019
43,DU ROI-DU-NORD@2019@6,2,6,DU ROI-DU-NORD,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
44,ARTHUR-SAUVE@2019@6,6,6,ARTHUR-SAUVE,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
45,DU TRAIT-CARRE@2019@6,2,6,DU TRAIT-CARRE,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
46,DES ILES@2019@6,2,6,DES ILES,PROMEN,2019,0.0,18.22,2.693,0.0,6_2019
47,AMPERE@2019@6,1,6,AMPERE,AVENUE,2019,0.0,18.22,2.693,0.0,6_2019
48,CHAMPAGNE@2019@6,1,6,CHAMPAGNE,MONTEE,2019,50.0,18.22,2.693,0.0,6_2019
49,DE LA CONCORDE EST@2019@6,2,6,DE LA CONCORDE EST,BOULEV,2019,50.0,18.22,2.693,0.0,6_2019
50,JALBERT@2019@6,2,6,JALBERT,RUE,2019,40.0,18.22,2.693,0.0,6_2019
51,CHOMEDEY@2018@12,10,12,CHOMEDEY,BOULEV,2018,0.0,-4.977,3.137,1.261,12_2018
52,100E@2019@6,1,6,100E,AVENUE,2019,50.0,18.22,2.693,0.0,6_2019
53,DES PETUNIAS@2019@6,1,6,DES PETUNIAS,RUE,2019,0.0,18.22,2.693,0.0,6_2019
54,PIERRE-PELADEAU@2019@5,2,5,PIERRE-PELADEAU,AVENUE,2019,0.0,12.016,2.99,0.0,5_2019
55,BEDARD@2019@6,3,6,BEDARD,RUE,2019,0.0,18.22,2.693,0.0,6_2019
56,EMILE@2019@5,2,5,EMILE,RUE,2019,0.0,12.016,2.99,0.0,5_2019
57,LEVESQUE EST@2019@6,1,6,LEVESQUE EST,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
58,SAINT-MARTIN OUEST@2019@6,3,6,SAINT-MARTIN OUEST,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
59,DE BOIS-DE-BOULOGNE@2019@6,1,6,DE BOIS-DE-BOULOGNE,AVENUE,2019,50.0,18.22,2.693,0.0,6_2019
60,MAJOR@2019@6,2,6,MAJOR,MONTEE,2019,40.0,18.22,2.693,0.0,6_2019
61,VANIER@2019@6,3,6,VANIER,BOULEV,2019,40.0,18.22,2.693,0.0,6_2019
62,DES PRAIRIES@2019@5,2,5,DES PRAIRIES,BOULEV,2019,50.0,12.016,2.99,0.0,5_2019
63,SAINT-MARTIN EST@2019@6,1,6,SAINT-MARTIN EST,BOULEV,2019,0.0,18.22,2.693,0.0,6_2019
64,DU SOUVENIR@2019@5,6,5,DU SOUVENIR,CHEMIN,2019,50.0,12.016,2.99,0.0,5_2019
65,NOTRE-DAME@2019@5,4,5,NOTRE-DAME,BOULEV,2019,50.0,12.016,2.99,0.0,5_2019
66,DE LA CONCORDE EST@2019@5,15,5,DE LA CONCORDE EST,BOULEV,2019,50.0,12.016,2.99,0.0,5_2019
67,DES LAURENTIDES A-15@2019@5,13,5,DES LAURENTIDES A-15,AUTORO,2019,0.0,12.016,2.99,0.0,5_2019
68,PAPINEAU A-19@2019@5,4,5,PAPINEAU A-19,AUTORO,2019,0.0,12.016,2.99,0.0,5_2019
69,INDUSTRIEL@2019@5,4,5,INDUSTRIEL,BOULEV,2019,60.0,12.016,2.99,0.0,5_2019
70,DES LAURENTIDES@2019@5,8,5,DES LAURENTIDES,BOULEV,2019,0.0,12.016,2.99,0.0,5_2019
71,CHATELAINE@2019@5,2,5,CHATELAINE,AVENUE,2019,0.0,12.016,2.99,0.0,5_2019
72,SAMSON@2019@5,6,5,SAMSON,BOULEV,2019,0.0,12.016,2.99,0.0,5_2019
73,ROGER-LORTIE@2019@5,2,5,ROGER-LORTIE,AVENUE,2019,70.0,12.016,2.99,0.0,5_2019
74,JEAN-NOEL-LAVOIE A-440@2019@5,1,5,JEAN-NOEL-LAVOIE A-440,AUTORO,2019,0.0,12.016,2.99,0.0,5_2019
75,LE CORBUSIER@2019@5,10,5,LE CORBUSIER,BOULEV,2019,60.0,12.016,2.99,0.0,5_2019
76,PRINCIPALE@2019@5,3,5,PRINCIPALE,RUE,2019,60.0,12.016,2.99,0.0,5_2019
77,DAGENAIS OUEST@2019@5,15,5,DAGENAIS OUEST,BOULEV,2019,60.0,12.016,2.99,0.0,5_2019
78,CLARENDON@2019@5,2,5,CLARENDON,AVENUE,2019,40.0,12.016,2.99,0.0,5_2019
79,DU COSMODOME@2019@5,2,5,DU COSMODOME,AVENUE,2019,0.0,12.016,2.99,0.0,5_2019
80,PAPINEAU@2019@5,8,5,PAPINEAU,AVENUE,2019,0.0,12.016,2.99,0.0,5_2019
