,year,month,temp,rain,snow
0,2017.0,1.0,-4.547,1.819,8.42
1,2017.0,2.0,-3.697,3.188,13.0
2,2017.0,3.0,-4.03,2.666,12.26
3,2017.0,4.0,7.977,5.094,1.154
4,2017.0,5.0,13.31,3.674,0.0
5,2017.0,6.0,18.81,3.477,0.0
6,2017.0,7.0,20.88,4.035,0.0
7,2017.0,8.0,19.94,2.77,0.0
8,2017.0,9.0,18.5,1.613,0.0
9,2017.0,10.0,13.33,3.742,0.0
10,2017.0,11.0,1.466,2.697,0.7915
11,2017.0,12.0,-8.57,1.648,10.805
12,2018.0,1.0,-9.72,2.916,20.19
13,2018.0,2.0,-4.562,2.182,21.58
14,2018.0,3.0,-0.9194,1.345,6.97
15,2018.0,4.0,3.92,3.12,2.2
16,2018.0,5.0,15.836,1.564,0.0
17,2018.0,6.0,18.95,2.596,0.0
18,2018.0,7.0,24.22,2.984,0.0
19,2018.0,8.0,23.0,1.957,0.0
20,2018.0,9.0,17.62,2.787,0.0
21,2018.0,10.0,7.504,2.764,0.0
22,2018.0,11.0,-0.741,3.596,3.385
23,2018.0,12.0,-4.977,3.137,1.261
24,2019.0,1.0,-10.305,3.023,7.453
25,2019.0,2.0,-8.3,2.639,20.47
26,2019.0,3.0,-2.607,1.913,14.164
27,2019.0,4.0,5.42,3.826,3.4
28,2019.0,5.0,12.016,2.99,0.0
29,2019.0,6.0,18.22,2.693,0.0
30,2019.0,7.0,23.52,1.252,0.0
31,2019.0,8.0,20.89,1.81,0.0
32,2019.0,9.0,15.78,3.326,0.0
33,2019.0,10.0,10.07,8.66,0.0
34,2019.0,11.0,-1.047,1.911,6.09
35,2019.0,12.0,-4.22,2.064,2.258
